,start_date,venue,innings,ball,batting_team,bowling_team,striker,bowler,total_wickets,total_runs
0,2008-04-18,5025,1,0.1,4078,3860,SC Ganguly,P Kumar,0,1
1,2008-04-18,5025,1,0.2,4078,3860,BB McCullum,P Kumar,0,0
2,2008-04-18,5025,1,0.3,4078,3860,BB McCullum,P Kumar,0,1
3,2008-04-18,5025,1,0.4,4078,3860,BB McCullum,P Kumar,0,0
4,2008-04-18,5025,1,0.5,4078,3860,BB McCullum,P Kumar,0,0
5,2008-04-18,5025,1,0.6,4078,3860,BB McCullum,P Kumar,0,0
6,2008-04-18,5025,1,0.7,4078,3860,BB McCullum,P Kumar,0,1
7,2008-04-18,5025,1,1.1,4078,3860,BB McCullum,Z Khan,0,0
8,2008-04-18,5025,1,1.2,4078,3860,BB McCullum,Z Khan,0,4
9,2008-04-18,5025,1,1.3,4078,3860,BB McCullum,Z Khan,0,4
10,2008-04-18,5025,1,1.4,4078,3860,BB McCullum,Z Khan,0,6
11,2008-04-18,5025,1,1.5,4078,3860,BB McCullum,Z Khan,0,4
12,2008-04-18,5025,1,1.6,4078,3860,BB McCullum,Z Khan,0,0
13,2008-04-18,5025,1,2.1,4078,3860,SC Ganguly,P Kumar,0,0
14,2008-04-18,5025,1,2.2,4078,3860,SC Ganguly,P Kumar,0,0
15,2008-04-18,5025,1,2.3,4078,3860,SC Ganguly,P Kumar,0,1
16,2008-04-18,5025,1,2.4,4078,3860,BB McCullum,P Kumar,0,4
17,2008-04-18,5025,1,2.5,4078,3860,BB McCullum,P Kumar,0,1
18,2008-04-18,5025,1,2.6,4078,3860,SC Ganguly,P Kumar,0,0
19,2008-04-18,5025,1,3.1,4078,3860,BB McCullum,AA Noffke,0,5
20,2008-04-18,5025,1,3.2,4078,3860,BB McCullum,AA Noffke,0,6
21,2008-04-18,5025,1,3.3,4078,3860,BB McCullum,AA Noffke,0,1
22,2008-04-18,5025,1,3.4,4078,3860,SC Ganguly,AA Noffke,0,4
23,2008-04-18,5025,1,3.5,4078,3860,SC Ganguly,AA Noffke,0,0
24,2008-04-18,5025,1,3.6,4078,3860,SC Ganguly,AA Noffke,0,1
25,2008-04-18,5025,1,3.7,4078,3860,BB McCullum,AA Noffke,0,6
26,2008-04-18,5025,1,4.1,4078,3860,SC Ganguly,P Kumar,0,4
27,2008-04-18,5025,1,4.2,4078,3860,SC Ganguly,P Kumar,0,1
28,2008-04-18,5025,1,4.3,4078,3860,BB McCullum,P Kumar,0,4
29,2008-04-18,5025,1,4.4,4078,3860,BB McCullum,P Kumar,0,0
30,2008-04-18,5025,1,4.5,4078,3860,BB McCullum,P Kumar,0,1
31,2008-04-18,5025,1,4.6,4078,3860,SC Ganguly,P Kumar,0,0
32,2008-04-18,5025,1,5.1,4078,3860,BB McCullum,Z Khan,0,1
33,2008-04-18,5025,1,5.2,4078,3860,SC Ganguly,Z Khan,1,0
34,2008-04-18,5025,1,5.3,4078,3860,RT Ponting,Z Khan,0,0
35,2008-04-18,5025,1,5.4,4078,3860,RT Ponting,Z Khan,0,0
36,2008-04-18,5025,1,5.5,4078,3860,RT Ponting,Z Khan,0,0
37,2008-04-18,5025,1,5.6,4078,3860,RT Ponting,Z Khan,0,0
124,2008-04-18,5025,2,0.1,3850,4072,R Dravid,AB Dinda,0,1
125,2008-04-18,5025,2,0.2,3850,4072,W Jaffer,AB Dinda,0,1
126,2008-04-18,5025,2,0.3,3850,4072,W Jaffer,AB Dinda,0,0
127,2008-04-18,5025,2,0.4,3850,4072,W Jaffer,AB Dinda,0,1
128,2008-04-18,5025,2,0.5,3850,4072,R Dravid,AB Dinda,0,1
129,2008-04-18,5025,2,0.6,3850,4072,W Jaffer,AB Dinda,0,0
130,2008-04-18,5025,2,0.7,3850,4072,W Jaffer,AB Dinda,0,0
131,2008-04-18,5025,2,1.1,3850,4072,R Dravid,I Sharma,1,0
132,2008-04-18,5025,2,1.2,3850,4072,V Kohli,I Sharma,0,0
133,2008-04-18,5025,2,1.3,3850,4072,V Kohli,I Sharma,0,4
134,2008-04-18,5025,2,1.4,3850,4072,V Kohli,I Sharma,0,1
